idno	univ	year	public_support_research	lecture_community_science	conference_ceremony_scientific	held_students_scientists	including_years_new	world_development_data	share_donation_team	international_staff_work	education_members_award	visit_education_technology	issues_generous_engineering	lectures_campus_theory	more_service_first	scholars_today_such	participants_services_applications	chinese_activities_field	event_various_systems	details_social_biomedical	invited_year_more	series_establishment_development	speakers_more_project	members_held_information	amp_projects_molecular	development_many_sciences	http_society_including	opening_university_physics	local_including_projects	today_family_years	exchange_alumni_world	first_chinese_analysis	please_guests_awarded	challenges_gratitude_computing	organized_professional_medicine	experts_new_scholars	forum_efforts_important	knowledge_outstanding_international	promote_amp_chemistry	social_promoting_software	economic_commitment_scientist	views_past_materials	global_appreciation_many	community_teaching_awards	session_contribution_laboratory	symposium_donations_technologies	campus_set_fields	different_serving_leading	keynote_student_spatial	experience_people_researchers	other_first_outstanding	research_recognition_computer
cu0028	CUHK	2010	0	0.0755736529827118	0	0.107474282383919	0	0	0	0	0	0	0	0	0.0342382006347179	0	0	0	0	0	0	0	0	0	0	0	0	0.0348236784338951	0	0	0	0	0	0	0	0	0.183971330523491	0	0.336174458265305	0	0.10199523717165	0	0.0909106433391571	0	0	0	0	0	0	0	0	0.0177910793572664
cu0030	CUHK	2010	0.249720215797424	0	0	0.0332971587777138	0	0.0528864562511444	0	0.0164264626801014	0	0	0	0	0	0	0.0448966175317764	0	0	0	0	0.0175518915057182	0.0312246177345514	0	0	0.0356597080826759	0.0110029075294733	0	0	0.022672925144434	0	0	0	0	0	0	0.251563787460327	0	0	0.219728782773018	0	0	0	0	0	0	0	0	0	0	0	0
cu0033	CUHK	2010	0	0.0316277220845222	0.163669094443321	0	0	0.015793701633811	0	0	0	0	0.0203084666281938	0	0	0.172552496194839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49118971824646	0	0	0	0	0	0	0	0.0783617943525314	0	0	0	0	0.0123836882412434
cu0034	CUHK	2010	0	0.0658094361424446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761983871459961	0	0	0	0.0387517437338829	0	0	0	0	0	0.022956682369113	0	0.0112098297104239	0	0	0.080905944108963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0035	CUHK	2010	0	0	0	0	0.111178524792194	0	0	0.434021472930908	0	0	0	0	0	0	0	0	0.0596230030059815	0	0	0	0	0	0	0	0	0	0	0.0146006625145674	0	0	0	0	0	0	0	0	0	0.286740630865097	0.0794198513031006	0	0	0	0	0	0	0	0	0	0	0
cu0036	CUHK	2010	0.488798826932907	0	0	0	0	0	0	0.0482166185975075	0	0	0	0.0173182375729084	0	0	0	0	0	0	0	0	0.084801696240902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351998537778854	0	0	0	0	0	0	0	0	0	0	0	0
cu0040	CUHK	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6737300157547	0	0	0	0	0	0	0	0.320989370346069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0041	CUHK	2010	0.0418058261275291	0.372175961732864	0	0	0	0	0	0.047955684363842	0	0	0	0	0.0402161739766598	0	0.0190810225903988	0	0	0	0	0	0	0.0337529815733433	0	0	0	0	0	0.0360378101468086	0	0	0.0816179141402245	0	0	0	0	0	0	0	0	0	0.135978654026985	0	0	0	0	0	0	0	0.186689794063568	0
cu0044	CUHK	2010	0.26587900519371	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032082874327898	0	0	0	0	0	0	0	0	0.0921094492077828	0	0	0	0	0	0	0.0785115584731102	0	0	0	0	0	0	0.51952064037323	0	0	0	0	0	0	0	0	0	0	0	0
cu0045	CUHK	2010	0.283142656087875	0	0	0	0.0651013404130936	0	0	0	0	0	0	0	0	0	0.185832768678665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0827367752790451	0	0	0	0.325373232364654	0	0	0	0	0.0408356599509716	0	0	0	0	0	0	0
cu0048	CUHK	2010	0.0707782804965973	0.186828896403313	0	0	0	0	0.0250632930546999	0.0977460965514183	0	0	0	0	0	0	0.0173001233488321	0	0	0	0	0	0	0	0	0	0.0749746784567833	0	0	0	0	0	0.21726892888546	0	0	0	0.0690681636333466	0	0	0	0	0.0797800645232201	0	0	0	0	0	0	0.0698631256818771	0	0.0870170965790749	0
cu0050	CUHK	2010	0	0	0	0	0	0	0.0978874936699867	0	0	0	0	0	0	0.117587737739086	0	0	0.0581111684441567	0	0	0	0	0	0	0	0.283687144517899	0	0	0	0	0	0.17857800424099	0	0	0.0377526320517063	0	0	0	0	0	0	0	0	0.0307857412844896	0	0	0	0	0.190844997763634	0	0
cu0055	CUHK	2010	0.114615105092525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0661454573273659	0	0.447802990674972	0.160887375473976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111040035262704	0.191420927643776	0	0	0
cu0056	CUHK	2010	0	0	0.331470042467117	0.142679989337921	0	0	0	0	0	0	0	0	0.0316760465502739	0	0	0	0.0207145176827908	0	0	0	0.171290919184685	0.0340117216110229	0	0	0	0	0	0	0	0	0	0.0168404262512922	0	0	0	0	0.0880619734525681	0.043749175965786	0	0.0727450400590897	0	0	0	0	0	0	0	0	0	0.043744619935751
cu0057	CUHK	2010	0.251750320196152	0	0	0	0	0	0	0	0	0	0	0	0	0.370717436075211	0	0	0	0	0	0	0	0	0	0.181682273745537	0	0	0	0	0	0	0	0	0	0	0	0	0.191395998001099	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0059	CUHK	2010	0	0.0442040264606476	0	0.156192168593407	0.0141535885632038	0	0	0.0677334144711494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0636291354894638	0	0	0	0	0	0	0	0	0	0	0	0.0189356878399849	0.542130768299103	0	0	0	0	0	0	0	0	0	0.082340233027935	0	0	0
cu0060	CUHK	2010	0.47033029794693	0	0	0	0	0	0	0	0	0.0499238222837448	0	0	0	0.0629151910543442	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016918670386076	0	0	0	0	0	0	0	0	0	0.318143099546432	0	0	0	0	0.0651909187436104	0	0	0	0	0	0	0
cu0061	CUHK	2010	0.159245416522026	0.194834694266319	0	0	0	0	0	0.0643145889043808	0	0	0	0	0	0	0.129273921251297	0.0303437598049641	0	0	0	0	0	0	0	0	0	0	0	0	0.0306087564677	0	0.0944761708378792	0	0	0	0	0	0.127809256315231	0.134442552924156	0	0	0	0	0	0	0	0	0	0.0316894054412842	0	0
cu0062	CUHK	2010	0	0.0741723403334618	0.434168577194214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.455121874809265	0	0	0	0	0	0	0	0	0	0	0	0.0291882362216711
cu0063	CUHK	2010	0.531082570552826	0.0615548193454742	0	0.125437706708908	0	0	0.0387950986623764	0	0	0	0	0	0.031244995072484	0.0995577424764633	0.0171519406139851	0	0	0	0	0	0	0	0	0.0682361051440239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186200402677059	0	0	0	0	0	0
cu0064	CUHK	2010	0.169788405299187	0.0442659258842468	0	0	0	0.0234550833702087	0	0	0	0	0	0	0	0	0.176746740937233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0433276407420635	0	0	0	0	0	0.189392820000649	0.20744888484478	0	0	0	0	0	0	0	0	0	0.142387554049492	0	0
cu0065	CUHK	2010	0	0	0	0	0	0	0	0.018983842805028	0	0	0	0	0	0	0	0.478318452835083	0.298568993806839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290139280259609	0	0	0	0	0	0	0	0	0.169338956475258	0	0
cu0066	CUHK	2010	0.464593231678009	0.0293387696146965	0	0	0.0492692962288857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237036850303411	0	0	0	0.0617092102766037	0	0	0.364238768815994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0068	CUHK	2010	0	0	0	0	0	0	0	0.104370087385178	0	0	0	0	0	0	0	0	0.396627366542816	0	0	0	0	0	0	0	0.374017775058746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714286863803864	0	0	0	0	0	0	0	0	0	0.0478817000985146
cu0069	CUHK	2010	0	0.398048669099808	0	0	0	0	0	0.27658000588417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182974115014076	0	0	0	0	0	0.0543012917041779	0	0	0	0	0.010947197675705	0	0	0.0689634010195732	0	0	0	0	0	0	0	0	0	0	0	0
cu0070	CUHK	2010	0	0	0	0	0	0	0	0.0839719623327255	0	0	0	0	0	0.593174815177918	0	0	0	0	0	0	0.123252600431442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1424690335989	0	0	0	0	0	0	0	0	0	0.0503623187541962	0	0	0
cu0074	CUHK	2010	0.47940269112587	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0741010680794716	0	0	0	0	0.247842833399773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141806736588478	0	0	0	0	0	0.0426299721002579	0	0	0	0	0	0
cu0075	CUHK	2010	0.188055887818337	0	0.0550895258784294	0.115785263478756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0603279806673527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306897282600403	0.0164243523031473	0	0	0	0	0	0	0	0	0	0.248547852039337	0	0
cu0076	CUHK	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0.450511455535889	0	0	0	0	0.110963180661201	0	0	0	0.0678210631012917	0	0.139286115765572	0	0	0	0	0	0.0527412556111813	0	0	0	0.0707291513681412	0.0730432495474815	0	0.03108000010252	0	0	0	0	0	0	0	0	0	0	0	0
cu0077	CUHK	2010	0.149543896317482	0.493173271417618	0	0	0	0	0	0.153271973133087	0	0	0	0	0.0536575689911842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0852721333503723	0	0	0	0	0	0.0440713800489903	0
cu0078	CUHK	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599705696105957	0	0	0	0	0	0.0722914859652519	0	0.321862161159515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0080	CUHK	2010	0.0622062459588051	0.046501811593771	0.0158651378005743	0.240518167614937	0	0.0895236730575562	0	0.212166965007782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0519138500094414	0	0	0	0	0	0	0	0	0	0	0.217972606420517	0.0348170883953571	0	0	0	0	0	0	0	0	0	0	0	0
cu0084	CUHK	2010	0.0850680992007256	0	0.202171117067337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22486786544323	0	0.367302507162094	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114267684519291	0	0	0	0	0	0	0	0	0	0	0	0
cu0085	CUHK	2010	0	0	0.393261134624481	0.125151887536049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337304651737213	0.0363391786813736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1043955758214	0	0
cu0087	CUHK	2010	0.0530933178961277	0	0.323409467935562	0	0	0	0	0.167403191328049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564834699034691	0	0	0	0	0	0	0	0	0	0	0	0	0.346447199583054	0	0	0	0	0	0	0	0	0	0.0494542010128498	0	0	0
cu0088	CUHK	2010	0.0340797901153564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0199656821787357	0	0.409559488296509	0.158991277217865	0	0	0	0	0.0101776327937841	0	0	0	0	0	0	0	0.040267538279295	0	0	0	0	0	0	0	0	0.124706506729126	0.119955658912659	0	0	0.0726183280348778
cu0094	CUHK	2009	0.474117547273636	0.228696033358574	0	0	0	0	0.128297403454781	0.0730433240532875	0	0	0	0	0.0713907331228256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0098	CUHK	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11070990562439	0	0	0	0	0	0	0	0.295860439538956	0.0468537025153637	0.534098982810974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0099	CUHK	2009	0.077138178050518	0	0	0	0	0	0	0	0	0	0	0	0.0315441004931927	0	0	0	0.169698089361191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583700180053711	0	0.108744919300079	0	0	0	0	0	0	0	0	0	0.0181881990283728	0	0	0
cu0101	CUHK	2009	0	0	0	0	0	0	0	0.0396977476775646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940424978733063	0	0	0	0	0	0	0	0	0	0	0	0
cu0102	CUHK	2009	0.135704904794693	0.0200247205793858	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612120404839516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24701926112175	0.525710940361023	0	0	0	0	0	0	0	0	0	0	0	0
cu0103	CUHK	2009	0.311295628547668	0.200430601835251	0.0668613463640213	0	0	0	0	0	0	0	0	0	0	0	0.0512637980282307	0	0	0	0	0	0	0.0107035478577018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151881664991379	0	0	0	0	0	0	0	0.0443272590637207	0	0.15558086335659	0	0
cu0104	CUHK	2009	0.0813214704394341	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0919815078377724	0	0	0.0264352336525917	0	0	0	0.0225310586392879	0	0.0295274499803782	0	0.0312432553619146	0	0	0	0	0	0	0	0.0398805886507034	0	0.0238567795604467	0.0558279119431973	0.039055310189724	0	0	0	0	0	0	0.0357931368052959	0	0	0.502284467220306	0	0
cu0109	CUHK	2009	0.465502142906189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213867090642452	0	0.483543634414673	0	0	0	0	0	0	0	0	0	0	0	0
cu0110	CUHK	2009	0.0720579028129578	0.0804715529084206	0	0	0	0	0	0	0	0	0	0	0	0.61889511346817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130511358380318	0	0	0	0	0	0	0	0.0834774672985077	0	0	0	0	0
cu0111	CUHK	2009	0.176787316799164	0	0	0	0	0	0	0.0935558825731278	0	0	0	0	0	0.0381410457193851	0	0	0	0	0	0.0186901204288006	0	0	0	0	0.0628900080919266	0	0	0.0241065472364426	0	0	0	0	0	0.0183014925569296	0.296424508094788	0	0.174484819173813	0	0	0.0505597479641438	0	0	0	0	0	0	0.0425977371633053	0	0	0
cu0113	CUHK	2009	0	0.116530701518059	0.385491669178009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0850048512220383	0	0	0	0	0	0	0	0	0	0	0	0	0.199130892753601	0	0	0	0	0	0	0	0	0	0.201706752181053	0	0
cu0114	CUHK	2009	0	0	0	0	0	0	0.135984599590302	0.0272719133645296	0	0	0	0	0	0	0	0	0	0	0	0.106666848063469	0	0	0	0	0.406122952699661	0	0	0.163407981395721	0	0	0	0	0	0.0666681155562401	0	0	0	0.0877909660339356	0	0	0	0	0	0	0	0	0	0	0	0
cu0116	CUHK	2009	0	0	0.129278644919395	0	0	0	0	0.0267071183770895	0	0	0.0711723268032074	0	0	0	0	0	0	0	0	0	0	0.245191693305969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41000884771347	0.112232998013496	0	0	0	0	0	0	0	0	0	0	0	0
cu0117	CUHK	2009	0	0	0.22308062016964	0	0	0	0	0.193964630365372	0	0	0	0	0.0338717401027679	0.190595999360085	0	0	0.0546102747321129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0615658909082413	0	0.0500418394804001	0	0	0	0	0	0	0	0	0	0.135045409202576	0.0496393069624901	0	0
cu0118	CUHK	2009	0.0389953777194023	0.0269386265426874	0	0.235845044255257	0	0.0841598659753799	0	0.0602613873779774	0	0	0	0	0.0372604727745056	0	0	0	0	0	0	0	0	0	0	0	0	0.11130827665329	0	0.0204017423093319	0	0	0	0	0	0	0	0	0.199012890458107	0.0694619938731194	0	0	0	0	0	0	0	0	0	0.11386713385582	0	0
cu0119	CUHK	2009	0	0	0	0	0	0	0	0.0815928131341934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712719798088074	0	0.0351234823465347	0	0	0.0761682838201523	0	0	0	0	0.0882078260183334	0	0
cu0120	CUHK	2009	0.556516408920288	0	0.048399668186903	0	0	0	0	0	0	0	0	0	0.029466001316905	0.0458479523658753	0	0	0	0	0	0	0	0	0	0.0376905016601086	0	0	0	0	0	0	0.0524144805967808	0	0	0	0	0.0384512357413769	0.159505233168602	0	0	0	0	0	0.0197181664407253	0	0	0	0	0	0	0
cu0121	CUHK	2009	0	0	0.28866258263588	0	0	0	0	0	0	0	0.0348969250917435	0	0.0426372848451138	0.311077922582626	0	0	0.0449550673365593	0	0	0	0	0.0761749669909477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0978615954518318	0	0	0	0	0	0	0	0	0	0.0889622941613197	0	0
cu0122	CUHK	2009	0.0458997413516045	0	0.21722586452961	0.114576511085033	0	0	0	0.0565208308398724	0	0	0	0	0	0.0486277863383293	0.0634928941726685	0	0	0	0	0	0.0183499362319708	0	0	0.0972998142242432	0	0	0	0	0	0	0.0412193834781647	0	0	0	0	0	0.157428771257401	0	0	0	0	0	0	0	0.136655285954475	0	0	0	0	0
cu0124	CUHK	2009	0	0.163554593920708	0	0	0	0	0	0	0	0	0.113042466342449	0	0.143741756677628	0	0.205008134245872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343345552682877	0	0	0	0	0	0	0	0	0	0	0	0.0261869002133608
cu0126	CUHK	2009	0.347003489732742	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989372059702873	0	0	0	0	0.545384168624878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0127	CUHK	2009	0	0.1371169090271	0	0.0932609885931015	0	0	0	0.0942154228687286	0	0	0	0	0.0153406290337443	0	0	0	0.0925521776080132	0	0	0	0.0873575955629349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.464399844408035	0	0.0104997530579567	0	0	0	0	0	0	0	0	0	0
cu0128	CUHK	2009	0	0	0	0	0.307807177305222	0	0	0.154273390769959	0	0	0	0	0	0.524236142635345	0	0	0	0	0	0	0	0	0	0	0	0.0101535730063915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0129	CUHK	2009	0.127280563116074	0.281600832939148	0	0.0290318597108126	0	0.0486733429133892	0	0.334059000015259	0	0	0	0	0	0.0592639334499836	0.0550327152013779	0	0	0	0	0	0	0	0	0	0	0.0146314706653357	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474564433097839	0	0	0	0	0	0	0	0	0	0
cu0131	CUHK	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130502834916115	0.66432923078537	0	0	0	0	0	0	0.0948064178228379	0	0	0.0117580890655518	0	0	0	0.0946637913584709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cu0134	CUHK	2009	0	0.136952981352806	0	0	0	0	0	0.0811225920915604	0.0668457299470902	0	0	0	0.0314738228917122	0	0	0	0	0	0	0	0	0.0713073685765266	0.344653576612472	0	0	0	0	0	0	0	0	0	0	0	0	0.0216400120407343	0.11639866232872	0	0	0	0	0	0	0	0	0.117734231054783	0	0	0	0
cu0135	CUHK	2009	0.685294568538666	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283757410943508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325642339885235	0	0	0	0.179189905524254	0	0.0685877501964569	0	0	0	0	0	0	0
cu0136	CUHK	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126049503684044	0.0697375535964966	0	0	0	0	0	0	0.551624298095703	0	0	0	0	0	0	0	0.0714565441012383	0	0	0	0	0	0	0	0	0	0	0.0128043303266168	0	0	0	0.162973061203957	0	0
cu0137	CUHK	2009	0	0.0637638792395592	0	0	0.0638063251972199	0	0	0.212265640497208	0.0393627509474754	0	0	0	0	0.442707389593124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104389667510986	0	0.066149152815342	0	0	0	0	0	0	0	0	0	0	0
cu0138	CUHK	2009	0	0	0.592920124530792	0	0	0	0	0	0	0	0	0	0.0626077577471733	0	0	0	0	0	0	0	0	0.0514456368982792	0	0.0421530082821846	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0389072299003601	0	0	0	0	0	0	0	0	0	0.170583114027977	0	0.0307957734912634
cu0139	CUHK	2009	0	0.0200518909841776	0.0629433020949364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0363657511770725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0387898199260235	0.818658232688904	0	0	0	0	0	0	0	0	0	0	0	0
cu0140	CUHK	2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235372379422188	0	0	0	0	0	0	0	0.708595097064972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0433446578681469	0	0
cu0142	CUHK	2009	0.0439576171338558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350856147706509	0.162943124771118	0	0	0	0	0	0	0	0	0	0	0.0358719266951084	0	0	0	0.440257459878922	0.208877548575401	0.0103432089090347	0	0	0	0	0.0471222773194313	0	0	0	0	0	0
cu0143	CUHK	2009	0.32914462685585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0653985217213631	0.238090828061104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133958995342255	0	0	0	0	0	0	0	0.216549530625343	0	0	0	0
cu0144	CUHK	2009	0	0	0	0.475648403167725	0	0	0	0.0979627594351768	0	0	0	0	0.0465451516211033	0	0	0	0	0	0	0	0	0	0.055215023458004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272900491952896	0	0	0	0	0.040696993470192	0	0	0	0	0	0	0
cu0145	CUHK	2009	0.563251852989197	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340874940156937	0	0	0.147284016013145	0	0.148690685629845	0	0	0	0	0	0	0	0.0314501523971558	0	0	0	0	0	0	0.016571456566453	0	0	0	0	0	0	0	0	0	0	0	0.051690049469471	0	0	0
cu0146	CUHK	2009	0.0454263091087341	0	0	0	0	0	0	0	0	0	0	0	0	0.536550223827362	0	0	0	0	0	0	0.410554051399231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
