;EISSN;title;publisher-country;APC;APC-amount;CCBY;domain;APC-EUR
18461;2767-441X;Interdisciplinary Materials;Australia;True;3500 USD;True;Technology;3121.65
9736;2150-7511;mBio;United States;True;3500 USD;True;Science;3121.65
13097;2379-5042;mSphere;United States;True;3500 USD;True;Science;3121.65
15711;2567-3165;InfoMat;Australia;True;3500 USD;True;Technology;3121.65
18469;2768-1696;Battery Energy;Australia;True;3500 USD;True;Technology;3121.65
17419;2667-193X;The Lancet Regional Health. Americas;United Kingdom;True;3500 USD;False;Medicine;3121.65
16046;2589-5370;EClinicalMedicine;United Kingdom;True;3500 USD;False;Medicine;3121.65
15712;2567-3173;EcoMat;Australia;True;3500 USD;True;SocialSciences;3121.65
10356;2213-6711;Stem Cell Reports;Netherlands;True;3500 USD;False;Science;3121.65
2171;1750-3639;Brain Pathology;United Kingdom;True;"3500 USD; 2800 GBP; 3200 EUR";False;Medicine;3121.65
14;2327-9788;Journal of the American Society for Horticultural Science;United States;True;3500 USD;False;Agriculture;3121.65
16861;2637-9368;Carbon Energy;Australia;True;3500 USD;False;Technology;3121.65
12635;2352-3964;EBioMedicine;Netherlands;True;3500 USD;False;Medicine;3121.65
16133;2590-289X;Resources, Conservation & Recycling: X;Netherlands;True;3500 USD;False;SocialSciences;3121.65
17339;2666-7762;The Lancet Regional Health. Europe;United Kingdom;True;3500 USD;False;Medicine;3121.65
114;1525-3198;Journal of Dairy Science;United States;True;3500 USD;False;Agriculture;3121.65
17310;2666-6065;The Lancet Regional Health. Western Pacific;United Kingdom;True;3500 USD;False;Medicine;3121.65
4204;1549-490X;The Oncologist;United Kingdom;True;3494 USD;False;Medicine;3116.2986
8426;2057-3995;npj Regenerative Medicine;United Kingdom;True;3490 USD;True;Medicine;3112.731
8409;2056-7944;npj Genomic Medicine;United Kingdom;True;3490 USD;True;Science;3112.731
12294;2334-265X;npj Schizophrenia;United States;True;3490 USD;True;Medicine;3112.731
8365;2055-5008;npj Biofilms and Microbiomes;United Kingdom;True;3490 USD;True;Science;3112.731
8254;2050-6201;Evolution, Medicine and Public Health;United Kingdom;True;3488 USD;True;Science;3110.9472
2316;1095-9572;NeuroImage;United States;True;3450 USD;False;Medicine;3077.0550000000003
17875;2691-3399;PRX Quantum;United States;True;3450 USD;True;Science;3077.0550000000003
12276;2332-7812;Neurology: Neuroimmunology & Neuroinflammation;United States;True;3450 USD;False;Medicine;3077.0550000000003
14051;2452-302X;JACC: Basic to Translational Science;United States;True;3400 USD;False;Medicine;3032.46
14323;2471-254X;Hepatology Communications;United States;True;"3000 EUR; 2700 GBP; 3300 USD";False;Medicine;3000.0
15770;2574-2531;JAMIA Open;United Kingdom;True;3332 USD;False;Medicine;2971.8108
16776;2632-7899;Schizophrenia Bulletin Open;United Kingdom;True;3322 USD;False;Medicine;2962.8918
7006;1876-4754;Brain Stimulation;United States;True;3310 USD;False;Medicine;2952.1890000000003
2393;1791-4914;Pneumon;Greece;True;2950 EUR;False;Medicine;2950.0
16981;2654-1459;Population Medicine;Greece;True;2950 EUR;False;Medicine;2950.0
3194;1369-7625;Health Expectations;United Kingdom;True;"3300 USD; 2100 GBP; 2900 EUR";True;Medicine;2943.27
13067;2376-7839;Neurology: Genetics;United States;True;3300 USD;False;Science;2943.27
16119;2590-1710;Toxicon: X;United Kingdom;True;3300 USD;False;Medicine;2943.27
1708;1537-1719;Molecular Biology and Evolution;United Kingdom;True;3255 USD;False;Science;2903.1345
4182;1542-4278;Latin American Research Review;United Kingdom;True;"3255 USD; 2045 GBP";False;SocialSciences;2903.1345
3193;1475-2727;Public Health Nutrition;United Kingdom;True;"3255 USD; 2045 GBP";False;Medicine;2903.1345
16790;2633-2892;QRB Discovery;United Kingdom;True;"3255 USD; 2045 GBP";False;Science;2903.1345
5621;1752-1424;IET Renewable Power Generation;United Kingdom;True;"2900 EUR; 2500 GBP; 3200 USD";False;Technology;2900.0
17956;2699-9307;Advanced NanoBiomed Research;Germany;True;"2900 EUR; 2600 GBP; 3500 USD";True;Medicine;2900.0
9760;2164-554X;Human Vaccines & Immunotherapeutics;United Kingdom;True;"2895 EUR; 2495 GBP; 3175 USD";False;Medicine;2895.0
2254;1607-8888;Stress;United Kingdom;True;"2895 EUR; 3175 USD; 2495 GBP";False;Medicine;2895.0
17630;2674-0702;Frontiers in Systems Biology;Switzerland;True;3225 USD;True;Science;2876.3775
17632;2674-0850;Frontiers in Drug Delivery;Switzerland;True;3225 USD;True;Medicine;2876.3775
18751;2813-0626;Frontiers in Nephrology;Switzerland;True;3225 USD;True;Medicine;2876.3775
17634;2674-1199;Frontiers in Epidemiology;Switzerland;True;3225 USD;True;Medicine;2876.3775
18752;2813-1169;Frontiers in Gastroenterology;Switzerland;True;3225 USD;True;Medicine;2876.3775
18753;2813-1193;Frontiers in Neuroimaging;Switzerland;True;3225 USD;True;Medicine;2876.3775
11404;2296-8016;Frontiers in Materials;Switzerland;True;3225 USD;True;Technology;2876.3775
12293;2334-2536;Optica;United States;True;3208 USD;False;Science;2861.2152
5606;1751-8652;IET Control Theory & Applications;United Kingdom;True;"3200 USD; 2500 GBP; 2900 EUR";False;Technology;2854.08
2314;1557-0657;International Journal of Methods in Psychiatric Research;United Kingdom;True;3200 USD;False;Medicine;2854.08
13023;2372-7705;Molecular Therapy: Oncolytics;United Kingdom;True;3200 USD;False;Medicine;2854.08
17418;2667-1743;Biological Psychiatry Global Open Science;United States;True;3200 USD;False;Medicine;2854.08
14239;2468-0249;Kidney International Reports;United States;True;3200 USD;False;Medicine;2854.08
12238;2329-0501;Molecular Therapy: Methods & Clinical Development;United States;True;3200 USD;False;Science;2854.08
2328;1097-0193;Human Brain Mapping;United States;True;3200 USD;False;Medicine;2854.08
4141;1526-9914;Journal of Applied Clinical Medical Physics;United States;True;"2850 EUR; 2250 GBP; 3575 USD";True;Medicine;2850.0
4195;1555-8584;RNA Biology;United Kingdom;True;3175 USD;False;Science;2831.7825000000003
13047;2374-4677;npj Breast Cancer;United States;True;3170 USD;True;Medicine;2827.323
13039;2373-8065;npj Microgravity;United States;True;3170 USD;True;Science;2827.323
8449;2059-0105;npj Vaccines;United States;True;3170 USD;True;Medicine;2827.323
13332;2397-4621;npj Flexible Electronics;United Kingdom;True;3170 USD;True;Technology;2827.323
13342;2397-768X;npj Precision Oncology;United States;True;3170 USD;True;Medicine;2827.323
10343;2213-1582;NeuroImage: Clinical;Netherlands;True;3150 USD;False;Medicine;2809.485
10391;2214-7829;Internet Interventions;Netherlands;True;3110 USD;False;Humanities;2773.809
16109;2590-1508;Materials Letters: X;Netherlands;True;3100 USD;False;Technology;2764.89
8419;2057-1577;Virus Evolution;United Kingdom;True;3088 USD;False;Science;2754.1872000000003
5629;1752-8062;Clinical and Translational Science;United Kingdom;True;"2750 EUR; 2200 GBP; 3300 USD";False;Medicine;2750.0
8464;2059-7029;ESMO Open;United Kingdom;True;2750 EUR;False;Medicine;2750.0
16080;2590-0188;Immuno-Oncology and Technology;United Kingdom;True;2750 EUR;False;Medicine;2750.0
12235;2328-8957;Open Forum Infectious Diseases;United Kingdom;True;3064 USD;False;Medicine;2732.7816000000003
2603;1179-6901;Drugs in R&D;United Kingdom;True;"3060 USD; 2090 GBP; 2490 EUR";False;Medicine;2729.214
13361;2398-6352;npj Digital Medicine;United States;True;3060 USD;True;Medicine;2729.214
8388;2056-3973;npj Aging and Mechanisms of Disease;United Kingdom;True;3060 USD;True;Medicine;2729.214
4170;1555-8576;Cancer Biology & Therapy;United Kingdom;True;"2710 EUR; 2335 GBP; 2970 USD";False;Medicine;2710.0
3661;1432-2277;Transplant International;Switzerland;True;2700 EUR;True;Medicine;2700.0
13337;2397-7000;Synthetic Biology;United Kingdom;True;3020 USD;False;Technology;2693.538
13378;2399-3642;Communications Biology;United Kingdom;True;2680 EUR;True;Science;2680.0
13379;2399-3650;Communications Physics;United Kingdom;True;2680 EUR;True;Science;2680.0
13380;2399-3669;Communications Chemistry;United Kingdom;True;2680 EUR;True;Science;2680.0
16085;2590-0498;Materials Today Advances;United Kingdom;True;3000 USD;False;Technology;2675.7000000000003
18486;2770-5846;Portal Hypertension & Cirrhosis;United Kingdom;True;3000 USD;False;Medicine;2675.7000000000003
12229;2327-9834;HortScience;United States;True;3000 USD;False;Agriculture;2675.7000000000003
8120;2040-1124;Journal of Diabetes Investigation;United Kingdom;True;3000 USD;False;Medicine;2675.7000000000003
18483;2770-100X;mLife;Australia;True;"3000 USD; 2534 GBP; 2989 EUR";True;Science;2675.7000000000003
16035;2589-0042;iScience;United States;True;3000 USD;False;Science;2675.7000000000003
9794;2169-3269;Archives of Scientific Psychology;United States;True;3000 USD;False;Humanities;2675.7000000000003
8232;2050-084X;eLife;United Kingdom;True;3000 USD;False;Science;2675.7000000000003
15756;2573-2102;Translational Animal Science;United Kingdom;True;3000 USD;False;Agriculture;2675.7000000000003
17844;2689-0186;JAMA Health Forum;United States;True;3000 USD;False;Medicine;2675.7000000000003
17296;2666-5468;Energy and AI;United Kingdom;True;3000 USD;False;Science;2675.7000000000003
3177;1878-1217;EJC Supplements;United Kingdom;True;3000 USD;False;Medicine;2675.7000000000003
16905;2643-8909;Aging and Cancer;United States;True;"3000 USD; 2250 GBP; 2550 EUR";False;Medicine;2675.7000000000003
17958;2699-9412;Advanced Energy & Sustainability Research;Germany;True;"3000 USD; 2320 GBP; 2600 EUR";True;Technology;2675.7000000000003
9753;2163-8306;CPT: Pharmacometrics & Systems Pharmacology;United States;True;3000 USD;False;Medicine;2675.7000000000003
18456;2767-3197;PLOS Sustainability and Transformation;United States;True;3000 USD;True;SocialSciences;2675.7000000000003
18454;2767-1429;Rheumatology & Autoimmunity;United Kingdom;True;3000 USD;False;Medicine;2675.7000000000003
18554;2772-9494;Materials Today Electronics;United Kingdom;True;3000 USD;False;Technology;2675.7000000000003
7708;2001-1326;Clinical and Translational Medicine;Australia;True;3000 USD;True;Medicine;2675.7000000000003
5631;1753-0407;Journal of Diabetes;Australia;True;"3000 USD; 2325 GBP; 2550 EUR";True;Medicine;2675.7000000000003
17244;2666-2477;HGG Advances;United States;True;"3000 USD; 2600 EUR; 2400 GBP";False;Science;2675.7000000000003
15418;2542-4548;Mayo Clinic Proceedings: Innovations, Quality & Outcomes;United States;True;3000 USD;False;Medicine;2675.7000000000003
1931;1943-7706;Molecular Plant-Microbe Interactions;United States;True;3000 USD;False;Science;2675.7000000000003
16078;2590-0064;Materials Today Bio;Netherlands;True;3000 USD;False;Science;2675.7000000000003
15774;2574-3805;JAMA Network Open;United States;True;3000 USD;False;Medicine;2675.7000000000003
8289;2052-4897;BMJ Open Diabetes Research & Care;United Kingdom;True;3000 USD;False;Medicine;2675.7000000000003
17294;2666-5425;Giant;United Kingdom;True;3000 USD;False;Science;2675.7000000000003
13331;2397-3722;npj Climate and Atmospheric Science;United Kingdom;True;2990 USD;True;Science;2666.781
13338;2397-7132;npj 2D Materials and Applications;United Kingdom;True;2990 USD;True;Science;2666.781
8356;2055-1010;npj Primary Care Respiratory Medicine;United Kingdom;True;2990 USD;True;Medicine;2666.781
14890;2522-5782;Journal of Cannabis Research;United Kingdom;True;2990 USD;True;Medicine;2666.781
8465;2059-7037;npj Clean Water;United Kingdom;True;2990 USD;True;Technology;2666.781
8404;2056-7189;npj Systems Biology and Applications;United Kingdom;True;2990 USD;True;Science;2666.781
13038;2373-8057;npj Parkinson's Disease;United States;True;2990 USD;True;Medicine;2666.781
16742;2631-827X;Crohn's & Colitis 360;United Kingdom;True;2975 USD;False;Medicine;2653.4025
11388;2296-2646;Frontiers in Chemistry;Switzerland;True;2950 USD;True;Science;2631.105
3674;1438-8871;Journal of Medical Internet Research;Canada;True;2950 USD;True;Medicine;2631.105
4759;1662-5137;Frontiers in Systems Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4781;1664-1078;Frontiers in Psychology;Switzerland;True;2950 USD;True;Humanities;2631.105
11419;2297-1769;Frontiers in Veterinary Science;Switzerland;True;2950 USD;True;Agriculture;2631.105
4760;1662-5145;Frontiers in Integrative Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4761;1662-5153;Frontiers in Behavioral Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4762;1662-5161;Frontiers in Human Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4763;1662-5188;Frontiers in Computational Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4757;1662-5110;Frontiers in Neural Circuits;Switzerland;True;2950 USD;True;Medicine;2631.105
4764;1662-5196;Frontiers in Neuroinformatics;Switzerland;True;2950 USD;True;Medicine;2631.105
12224;2327-2236;Journal of Health Economics and Outcomes Research;United States;True;2950 USD;True;Medicine;2631.105
4765;1662-5218;Frontiers in Neurorobotics;Switzerland;True;2950 USD;True;Medicine;2631.105
4776;1663-9812;Frontiers in Pharmacology;Switzerland;True;2950 USD;True;Medicine;2631.105
4793;1664-8021;Frontiers in Genetics;Switzerland;True;2950 USD;True;Science;2631.105
4779;1664-042X;Frontiers in Physiology;Switzerland;True;2950 USD;True;Science;2631.105
4786;1664-3224;Frontiers in Immunology;Switzerland;True;2950 USD;True;Medicine;2631.105
4780;1664-0640;Frontiers in Psychiatry;Switzerland;True;2950 USD;True;Medicine;2631.105
4788;1664-462X;Frontiers in Plant Science;Switzerland;True;2950 USD;True;Agriculture;2631.105
4758;1662-5129;Frontiers in Neuroanatomy;Switzerland;True;2950 USD;True;Science;2631.105
4782;1664-2295;Frontiers in Neurology;Switzerland;True;2950 USD;True;Medicine;2631.105
11386;2296-2360;Frontiers in Pediatrics;Switzerland;True;2950 USD;True;Medicine;2631.105
11403;2296-7745;Frontiers in Marine Science;Switzerland;True;2950 USD;True;Science;2631.105
11392;2296-4185;Frontiers in Bioengineering and Biotechnology;Switzerland;True;2950 USD;True;Technology;2631.105
10739;2235-2988;Frontiers in Cellular and Infection Microbiology;Switzerland;True;2950 USD;True;Science;2631.105
10735;2234-943X;Frontiers in Oncology;Switzerland;True;2950 USD;True;Medicine;2631.105
11396;2296-634X;Frontiers in Cell and Developmental Biology;Switzerland;True;2950 USD;True;Science;2631.105
11397;2296-6463;Frontiers in Earth Science;Switzerland;True;2950 USD;True;Science;2631.105
4785;1664-302X;Frontiers in Microbiology;Switzerland;True;2950 USD;True;Science;2631.105
4756;1662-5102;Frontiers in Cellular Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4754;1662-453X;Frontiers in Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4755;1662-5099;Frontiers in Molecular Neuroscience;Switzerland;True;2950 USD;True;Medicine;2631.105
4784;1664-2392;Frontiers in Endocrinology;Switzerland;True;2950 USD;True;Medicine;2631.105
12937;2196-9736;Endoscopy International Open;Germany;True;2620 EUR;False;Medicine;2620.0
13031;2373-2822;eNeuro;United States;True;2925 USD;True;Medicine;2608.8075
5572;1748-5908;Implementation Science;United Kingdom;True;"2590 EUR; 3090 USD; 2290 GBP";False;Medicine;2590.0
17828;2688-2663;MedComm;Australia;True;2900 USD;True;Medicine;2586.51
17863;2689-9655;Computational and Systems Oncology;United States;True;"2900 USD; 1813 GBP; 2327 EUR";True;Medicine;2586.51
8629;2072-6643;Nutrients;Switzerland;True;2600 CHF;True;Technology;2584.4
7679;1999-4923;Pharmaceutics;Switzerland;True;2600 CHF;True;Medicine;2584.4
7678;1999-4915;Viruses;Switzerland;True;2600 CHF;True;Science;2584.4
8425;2057-3960;npj Computational Materials;United Kingdom;True;2890 USD;True;Science;2577.591
1973;1365-2184;Cell Proliferation;United States;True;"2860 USD; 2150 GBP; 2400 EUR";True;Science;2550.8340000000003
8248;2050-4527;Immunity, Inflammation and Disease;United Kingdom;True;"2550 EUR; 2100 GBP; 3267 USD";True;Medicine;2550.0
8210;2048-7177;Food Science & Nutrition;United States;True;"2550 EUR; 2200 GBP; 2800 USD";True;Technology;2550.0
10346;2213-2317;Redox Biology;Netherlands;True;2850 USD;False;Science;2541.915
11365;2291-5222;JMIR mHealth and uHealth;Canada;True;2850 USD;True;Medicine;2541.915
2617;1177-8881;Drug Design, Development and Therapy;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2640;1178-6973;Infection and Drug Resistance;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2639;1178-6965;Journal of Asthma and Allergy;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2636;1178-6930;OncoTargets and Therapy;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2628;1178-2390;Journal of Multidisciplinary Healthcare;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2679;1179-1608;Nature and Science of Sleep;United Kingdom;True;2836 USD;False;Science;2529.4284000000002
2678;1179-1594;Risk Management and Healthcare Policy;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2623;1178-2021;Neuropsychiatric Disease and Treatment;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2622;1178-2013;International Journal of Nanomedicine;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2621;1178-1998;Clinical Interventions in Aging;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2618;1177-889X;Patient Preference and Adherence;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2676;1179-1578;Psychology Research and Behavior Management;United Kingdom;True;2836 USD;False;SocialSciences;2529.4284000000002
2649;1178-7074;International Journal of General Medicine;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2643;1178-7015;Clinical, Cosmetic and Investigational Dermatology;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
11083;2253-5969;Journal of Hepatocellular Carcinoma;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2609;1178-2005;International Journal of COPD;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2607;1178-203X;Therapeutics and Clinical Risk Management;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2648;1178-7066;Pharmacogenomics and Personalized Medicine;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2663;1179-1411;International Journal of Women's Health;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2659;1179-1349;Clinical Epidemiology;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2658;1179-1322;Cancer Management and Research;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2645;1178-7031;Journal of Inflammation Research;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2651;1178-7090;Journal of Pain Research;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
2642;1178-7007;Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy;United Kingdom;True;2836 USD;False;Medicine;2529.4284000000002
14335;2472-1972;Journal of the Endocrine Society;United States;True;2822 USD;False;Medicine;2516.9418
3631;1423-0143;Kidney & Blood Pressure Research;Switzerland;True;"2530 CHF; 2365 EUR; 2780 USD";False;Medicine;2514.82
12663;2352-9067;International Journal of Cardiology: Heart & Vasculature;Netherlands;True;2500 EUR;False;Medicine;2500.0
5607;1751-8679;IET Electric Power Applications;United Kingdom;True;"2500 EUR; 2200 GBP; 2800 USD";False;Technology;2500.0
5608;1751-8695;IET Generation, Transmission & Distribution;United Kingdom;True;"2500 EUR; 2200 GBP; 2800 USD";False;Technology;2500.0
10133;2192-8614;Nanophotonics;Germany;True;2500 EUR;True;Science;2500.0
2381;1099-1824;Wind Energy;United Kingdom;True;"2500 EUR; 2150 GBP; 2700 USD";False;Technology;2500.0
5655;1755-4543;IET Power Electronics;United Kingdom;True;"2500 EUR; 2200 GBP; 2800 USD";False;Technology;2500.0
12990;2369-2960;JMIR Public Health and Surveillance;Canada;True;2800 USD;True;Medicine;2497.32
18489;2770-9183;Cancer Innovation;United Kingdom;True;"2800 USD; 2150 GBP; 2350 EUR";False;Medicine;2497.32
11915;2769-2795;Ibrain;Germany;True;2800 USD;True;Medicine;2497.32
16734;2631-4940;BMJ Surgery, Interventions, & Health Technologies;United Kingdom;True;2800 USD;False;Medicine;2497.32
17330;2666-6936;Cardiovascular Digital Health Journal;United States;True;2800 USD;False;Medicine;2497.32
9674;2155-384X;Clinical and Translational Gastroenterology;United States;True;2800 USD;False;Medicine;2497.32
18515;2772-4875;International Journal of Cardiology. Cardiovascular Risk and Prevention;Netherlands;True;2800 USD;False;Medicine;2497.32
16093;2590-0862;International Journal of Cardiology. Hypertension;Netherlands;True;2800 USD;False;Medicine;2497.32
3850;1474-9726;Aging Cell;United Kingdom;True;2800 USD;True;Medicine;2497.32
17255;2666-3503;JVS - Vascular Science;United States;True;2800 USD;False;Medicine;2497.32
17442;2667-3940;Advances in Cancer Biology - Metastasis;Netherlands;True;2800 USD;False;Medicine;2497.32
